Station ID,sensorelv,marshelv
CRMS2154-H01,-0.29,0.563
CRMS2154-H0X,-1.07,0.563
CRMS2156-H01,-0.22,0.723
CRMS2156-H0X,NA,0.854
CRMS2166-H01,-1.04,0.22
CRMS2189-H01,-0.74,0.687
CRMS2189-H02,-2,0.795
CRMS2219-H01,-0.96,1.186
CRMS2334-H01,-0.62,1.066
CRMS2418-H01,,98.088
CRMS2493-H01,-1.1,0.535
CRMS5992-H01,-2.03,
CRMS6301-H01,-0.64,0.574
CRMS6302-H01,-1.52,0.888
CRMS6302-H02,-1.52,0.888
CS02-05,-0.54,
CS20-03,-0.9,1.51
CS20-07,-0.23,
CS20-09,-0.77,1.25
CS20-106,0.46,1.27
CS20-14R,-0.2,1.28
CS20-15R,-0.66,1.28
CS20-17,1.17,0.81
CS21-29,0.54,
CS23-01R,-2.23,
CS27-25,-1.44,
CS31-01,-0.38,
CS31-02,0.17,
CS59-01,-0.2,
ME16-06,-0.67,1.26
ME11-01R,-1.99,
TE26-01,1.62,
TE26-02,1.51,
TE26-03,1.91,
TE26-05,1.78,
TE28-03,0.54,
TV14-01,-1.51,1.36
TV14-23,-1.55,1.31
TV14-3R,-1.82,1.29
TV14-4R,-2.04,1.2
TV21CR01-H01,-1.16,2.11
TV21CR02-H01,-3.12,
